feature,importance_score,normalized_importance
UTR5_GC,8047.120154071505,1.0
UTR3_GC,5670.602839219034,0.7046748067195128
UTR3_length,4003.819868150653,0.4975469225627119
miRNA_seed_matches,3826.6871989035217,0.4755349896158042
UTR5_length,3729.9685762639756,0.463515954136309
CAI,3495.2259943702097,0.43434494918058014
GC3_content,2283.732673568719,0.2837950260271988
UTR5_AUG_count,1694.2148490204684,0.21053679037751993
