feature,region,population_mean,population_median,population_std,population_range_10_90,stability_profile_mean,stability_profile_std,stability_profile_range,expression_profile_mean,expression_profile_std,expression_profile_range,balanced_profile_mean,balanced_profile_std,balanced_profile_range
UTR5_length,5UTR,64.64084723217026,19.0,154.92633936064527,"(0.0, 191.8000000000011)",12.144831115660184,9.126746276220848,"(0.0, 19.0)",213.50972364380758,252.42715517828776,"(14.300000000000011, 191.8000000000011)",155.503582395087,232.12311835802475,"(0.0, 191.8000000000011)"
UTR5_GC,5UTR,36.83026897600346,28.57142857142857,16.04460478087693,"(28.57142857142857, 67.12328767123287)",28.571428571428562,7.108273513275971e-15,"(27.857142857142847, 29.285714285714278)",54.39839277686898,18.968784950144723,"(28.57142857142857, 67.12328767123287)",49.06903837866579,20.01242999482488,"(28.57142857142857, 67.12328767123287)"
UTR5_AUG_count,5UTR,0.3581295405709608,0.0,1.4661044995505255,"(0.0, 1.0)",0.0,0.0,"(-0.5, 0.5)",1.3725690890481064,2.6472768281385446,"(0.0, 1.0)",0.9575230296827022,2.253457764252681,"(0.0, 1.0)"
GC3_content,CDS,28.115382316897627,0.0,29.587226046941783,"(0.0, 67.38015567032808)",17.628367287360746,28.10277187130579,"(0.0, 64.4799228102456)",48.73548501949483,18.71709895757955,"(32.4008383622336, 67.38015567032808)",40.47924075197843,25.412382349301076,"(0.0, 67.38015567032808)"
CAI,CDS,0.3673027707539475,0.0,0.37184508041010345,"(0.0, 0.7719208944946795)",0.2155920902482924,0.33628553014217905,"(0.0, 0.7561530929735694)",0.6804639613001395,0.21378857498270526,"(0.6679091369543535, 0.7719208944946795)",0.5596236419526754,0.32469585503277537,"(0.0, 0.7719208944946795)"
UTR3_length,3UTR,298.030901463215,19.0,833.4786025517149,"(0.0, 1055.0)",12.144831115660184,9.126746276220848,"(0.0, 19.0)",1206.4129989764585,1365.968095358392,"(19.0, 1055.0)",860.7717502558853,1264.8755321081458,"(0.0, 1055.0)"
UTR3_GC,3UTR,31.763221638062298,28.57142857142857,6.963927010246219,"(28.57142857142857, 42.64264264264264)",28.571428571428562,7.108273513275971e-15,"(27.857142857142847, 29.285714285714278)",38.89027986684642,9.023177430527495,"(28.57142857142857, 42.64264264264264)",36.57071777842524,8.779140193397708,"(28.57142857142857, 42.64264264264264)"
