gene_id,mean_difference,variance_ratio,cohen_d
ENSCGRT00001000001,-2.710505431213761e-20,1.0,0.0
ENSCGRT00001000002,437.2999999999997,0.7910669097941238,0.1285090052877036
ENSCGRT00001000003,-2.710505431213761e-20,1.0,0.0
ENSCGRT00001000004,419.6000000000022,0.7523003021219308,0.023648734435256304
ENSCGRT00001000005,0.016663333333333336,0.8863533700256025,0.043432174026780804
ENSCGRT00001000006,1846.2333333333372,1.1274801868357442,0.06248523450916424
ENSCGRT00001000007,-2.710505431213761e-20,1.0,0.0
ENSCGRT00001000008,0.03332999999999999,3.0,0.21172526114494827
ENSCGRT00001000009,-0.13332,0.0,-0.4472135954999578
ENSCGRT00001000010,7789.933333333334,1.530278400806121,0.16963648403170828
ENSCGRT00001000011,0.049995,inf,0.45305977298225986
ENSCGRT00001000012,-2.710505431213761e-20,1.0,0.0
ENSCGRT00001000013,-0.43329333333333336,0.0,-0.8842151356689465
ENSCGRT00001000014,-0.08332499999999998,0.0,-0.34377582547616425
ENSCGRT00001000015,-0.033330000000000005,0.0,-0.21172526114494833
ENSCGRT00001000016,-4691.68333333332,1.3781985074387926,-0.04860708907819229
ENSCGRT00001000017,0.3832983333333333,1.3667610562890287,0.6255993622640231
ENSCGRT00001000018,-2.710505431213761e-20,1.0,0.0
ENSCGRT00001000019,4240.783333333326,2.2217657369133264,0.14350645837094408
ENSCGRT00001000020,-2.710505431213761e-20,1.0,0.0
ENSCGRT00001000021,-1029.6000000000004,0.5576409965276475,-0.41207274042267694
ENSCGRT00001000022,-356.1499999999942,1.108122605878034,-0.010992822096809112
ENSCGRT00001000023,6450.116666666669,4.693549306076366,0.21699153029868787
ENSCGRT00001000024,-0.033330000000000005,0.0,-0.21172526114494833
ENSCGRT00001000025,-44.149999999999636,1.1812515044482046,-0.01321311478197914
ENSCGRT00001000026,-2.710505431213761e-20,1.0,0.0
ENSCGRT00001000027,-651.1000000000004,1.3410566811021856,-0.13319506107724235
ENSCGRT00001000028,-6232.983333333337,0.9553421496800447,-0.18017075879171862
ENSCGRT00001000029,-2.710505431213761e-20,1.0,0.0
ENSCGRT00001000030,-0.016665,0.7901785714285714,-0.06801716341904411
ENSCGRT00001000031,-2.710505431213761e-20,1.0,0.0
ENSCGRT00001000032,-119.08333333332848,1.168542150675674,-0.005472747483364338
ENSCGRT00001000033,689.75,0.4391903740780614,0.09872788955375794
ENSCGRT00001000034,-2.710505431213761e-20,1.0,0.0
ENSCGRT00001000035,-5864.6500000000015,0.9318091416634741,-0.21171338851488258
ENSCGRT00001000036,-2.710505431213761e-20,1.0,0.0
ENSCGRT00001000037,-2.710505431213761e-20,1.0,0.0
ENSCGRT00001000038,-123.83333333333326,0.19718764746615244,-0.23824720089543658
ENSCGRT00001000039,-1411.416666666666,0.4554003752351767,-0.2261218504050349
ENSCGRT00001000040,-69.65000000000003,0.4256326632704426,-0.26727850342878023
ENSCGRT00001000041,-63.9666666666667,0.38821523423673837,-0.13923053892593348
ENSCGRT00001000042,-0.016664999999999996,0.0,-0.14843819692075466
ENSCGRT00001000043,-1.4166666666666679,0.2312718707406523,-0.17365959841560158
ENSCGRT00001000044,0.049994999999999984,inf,0.45305977298225975
ENSCGRT00001000045,-59.666666666666686,0.376946881301223,-0.27480809062339334
ENSCGRT00001000046,33.65000000000009,1.0464937299718842,0.03624502319402518
ENSCGRT00001000047,-0.11665500000000001,0.7291699178305545,-0.23048590231914953
ENSCGRT00001000048,-0.049996666666666675,0.39862817597609673,-0.1528194606068277
ENSCGRT00001000049,0.23331,11.842105263157894,0.9471974971417256
ENSCGRT00001000050,-19.28333333333334,0.08678742143346908,-0.40835752150185367
ENSCGRT00001000051,-45.55000000000018,1.2245075140951602,-0.027406102301843798
ENSCGRT00001000052,0.2166433333333333,1.361950744576066,0.4128257679469502
ENSCGRT00001000053,-0.1833183333333334,0.2002166399696426,-0.40885344477962127
ENSCGRT00001000054,0.5833266666666668,0.7584168343110107,0.2588642731613111
ENSCGRT00001000055,-0.016664999999999996,0.0,-0.14843819692075466
ENSCGRT00001000056,-0.08332499999999995,0.0,-0.3437758254761641
ENSCGRT00001000057,-23.783273333333334,0.21303485487641283,-0.23556062178452614
ENSCGRT00001000058,-2.0833333333333144,0.6116572691154071,-0.006274446612726739
ENSCGRT00001000059,-2.4666500000000005,0.3009492235456262,-0.44706043546915264
ENSCGRT00001000060,-142.04999999999995,0.530535670740685,-0.22526371352596355
ENSCGRT00001000061,-29.933333333333337,0.13905925369884337,-0.40795864311547536
ENSCGRT00001000062,-190.3166666666666,0.5925089900403924,-0.15026950331055883
ENSCGRT00001000063,-716.3833333333332,0.2672230176703396,-0.21679085775853493
ENSCGRT00001000064,-0.01666499999999997,0.7901785714285714,-0.068017163419044
ENSCGRT00001000065,-2.710505431213761e-20,1.0,0.0
ENSCGRT00001000066,-0.06665999999999998,0.0,-0.30472470011002195
ENSCGRT00001000067,0.049995000000000005,1.961218836565097,0.20478155158843717
ENSCGRT00001000068,-0.033330000000000005,0.0,-0.21172526114494833
ENSCGRT00001000069,-2.710505431213761e-20,1.0,0.0
ENSCGRT00001000070,5.416661666666659,0.4319094404299301,0.24346013598936742
ENSCGRT00001000071,-22.616666666666667,0.07855652112767045,-0.4048286147661969
ENSCGRT00001000072,-0.8832866666666666,1.3143712882031673,-0.33019100384063105
ENSCGRT00001000073,-46.30000000000001,0.08888194250810669,-0.40776416108668473
ENSCGRT00001000074,0.01666833333333334,1.4702232662906587,0.03659647142633796
ENSCGRT00001000075,-0.016664999999999996,0.0,-0.14843819692075466
ENSCGRT00001000076,-0.8499500000000001,1.0354769324230215,-0.5501970655940105
